wavelength,r,g,b
400,0.79061591,0.14476139,3.90807908
403,2.46642999,0.73425437,13.09035978
406,4.51948673,1.61261455,25.38364216
409,7.61777360,3.02726988,45.25212064
412,11.60257614,4.87946847,72.71819842
415,15.12741803,6.45872495,98.91421481
418,18.54908632,7.89242958,126.54054807
421,22.10746590,9.20673875,159.79622080
424,24.50268225,9.91096065,188.82761319
427,25.76698184,10.13873469,211.03587000
430,25.98921541,9.80051306,236.56105736
433,24.92254780,8.88745813,257.77995568
436,23.41639043,7.84046630,270.67360671
439,21.20018190,6.30567830,283.97934555
442,18.47535151,4.35815093,295.53815804
445,16.16077453,2.67565585,303.22199762
448,13.94439419,1.16698964,309.47724526
451,11.56542758,0.10667691,315.14625401
454,9.73327579,0.33439180,318.77494012
457,8.48246562,1.33756721,320.83315195
460,7.32198565,7.49750227,322.12419818
463,6.69617265,20.69654776,322.06338035
466,6.62451648,37.13222771,321.00587530
469,6.85850159,63.09077366,318.81310524
472,7.48298418,98.73945885,315.25294009
475,8.20372746,133.16677505,311.36976003
478,9.00622825,170.34349150,306.65364492
481,9.95247279,216.97459003,299.61911503
484,10.66454008,259.86290449,291.60273211
487,11.07764871,294.18621278,283.92535635
490,11.14863857,336.05868387,271.48382471
493,10.63592814,372.26220018,256.63494472
496,9.80974165,394.37395256,243.67794471
499,8.47735162,416.78184644,226.55329227
502,6.69309868,435.76497774,206.51413519
505,5.08939591,448.42044652,189.15492383
508,3.52235123,459.37427125,171.60798794
511,1.88529376,471.23520648,150.77459266
514,0.77470658,481.62003173,132.27405258
517,0.17065304,489.97602599,117.70212454
520,0.00000000,500.67222864,99.98106409
523,0.43176615,510.42342459,84.52960990
526,1.58338290,516.51396248,75.03282484
529,3.96711665,522.44355686,65.55874581
532,8.06118567,526.78223254,57.95141553
535,12.64381339,528.80438111,53.40498866
538,18.04178014,529.68389034,49.98222917
541,25.35737343,529.46367018,46.92184794
544,32.58949607,528.36380546,44.65699633
547,38.74120218,527.00766903,42.99020762
550,47.15078262,524.56673877,40.89592059
553,55.73979131,521.56227361,38.80639595
556,62.40446546,518.83994802,37.20520015
559,70.89714175,514.97936098,35.22311135
562,80.98881901,509.80519826,33.00810244
565,90.56265424,504.39760822,31.08922983
568,101.57939466,497.75882374,29.08408589
571,117.47397956,487.62785262,26.51727772
574,135.04466592,475.97259438,23.97366478
577,151.44078666,464.83277228,21.76343630
580,175.95808684,447.52108780,18.71652888
583,201.40728223,428.65432232,15.73808787
586,219.45617040,414.30081110,13.70895952
589,238.69437361,397.67645196,11.58226319
592,254.12123261,381.84777425,9.88083803
595,261.27055834,371.38424937,9.06258313
598,263.73960887,363.41821876,8.74864905
601,261.88567138,356.79786155,8.97319798
604,258.40820266,352.17788665,9.58748194
607,255.83155166,348.55753637,10.27729979
610,255.73645961,342.18360532,11.35102085
613,259.61483657,332.85624703,12.41415952
616,263.40575266,323.12998575,13.13038199
619,265.99866957,309.01609358,13.91622708
622,264.49598549,291.53671450,14.69225799
625,260.16441477,277.23222090,15.38303477
628,254.95351331,265.11261949,16.23792677
631,250.11600473,255.76615668,17.64386791
634,248.33107791,252.39332180,19.31235842
637,248.44544078,252.31144114,20.86643825
640,249.10338476,253.63202245,22.95312501
643,247.11704430,252.53090380,24.65372165
646,241.81152144,247.83302006,25.38412087
649,231.68451550,238.37476560,25.70660146
652,216.12078848,223.45520256,25.29038473
655,200.46479926,208.28073262,24.40407072
658,183.53548050,191.79135004,23.16575079
661,162.75606776,171.47305477,21.35209631
664,144.20391077,153.25026767,19.53949741
667,129.63709458,138.87222765,18.02521384
670,111.84139085,121.11676424,16.07937055
673,95.81993546,104.88162671,14.26326884
676,85.17071865,93.88852727,12.99337161
679,73.37472943,81.55452790,11.49818716
682,62.01536329,69.49791971,9.90727626
685,53.51817880,60.37426827,8.58323928
688,45.63976588,51.84799975,7.25821453
691,36.79396687,42.19418677,5.68974609
694,29.06751418,33.68384380,4.31213150
697,22.97076309,26.91353744,3.24843593
700,15.59524854,18.60848051,2.03260787
703,9.40418638,11.50898028,1.08590055
706,5.92052588,7.41093779,0.60514389
709,2.80067467,3.64990784,0.21884364
712,0.87318771,1.22265761,0.03567442
715,0.20164229,0.31048174,0.00030090
718,0.00278840,0.00878469,0.00028375
721,0.00183198,0.00205165,0.00056750
724,0.00498234,0.00665494,0.00156850
727,0.00344159,0.00815494,0.00627401
730,0.00000000,0.00000000,0.02041291
