wavelength,r,g,b
400,0.00000000,0.00000000,0.06548640
403,0.00000000,0.00017188,1.24272540
406,0.06189352,0.06001510,3.38013652
409,0.25279520,0.22752695,7.23585449
412,0.61209366,0.52936866,12.96427170
415,1.00028615,0.84444259,18.62445768
418,1.42060267,1.17648817,24.67533884
421,1.90353783,1.54805757,31.97467552
424,2.26738129,1.82369135,38.27544694
427,2.49176821,1.99319376,43.01084364
430,2.62472032,2.09072243,48.22097708
433,2.60198892,2.04817200,52.25574278
436,2.49232741,1.90818659,54.45129711
439,2.30135975,1.64269343,56.47184064
442,2.03774936,1.23149250,57.88925271
445,1.79783499,0.82240321,58.57897239
448,1.55906173,0.41267739,58.95060474
451,1.29757454,0.07307939,59.06428436
454,1.10188705,0.03560035,58.96635548
457,0.97902023,0.14240140,58.81183935
460,0.90662041,1.32193697,58.60240497
463,0.94483957,3.91481438,58.46932981
466,1.06338743,7.15682703,58.43247231
469,1.28430203,12.26394673,58.40121925
472,1.61624369,19.22771531,58.30695748
475,1.94566169,25.87881122,58.07372708
478,2.29863988,32.97678313,57.61840927
481,2.72158579,41.74586774,56.64871057
484,3.07281447,49.70006961,55.30302628
487,3.31900148,56.01394454,53.91044754
490,3.52836085,63.70169752,51.60071077
493,3.59336489,70.40837913,48.90348708
496,3.53209387,74.58402052,46.62829900
499,3.37132409,78.86392473,43.66246818
502,3.09694153,82.50129429,40.20125150
505,2.81473684,84.89352401,37.18178348
508,2.51125802,86.91862263,34.10417751
511,2.15465229,89.04276714,30.41361444
514,1.87602857,90.84449560,27.10539475
517,1.69924512,92.25938712,24.48146290
520,1.61137023,93.99068349,21.25997463
523,1.73253229,95.45573518,18.41918334
526,2.02259613,96.24251498,16.64511357
529,2.57347346,96.83659604,14.84408801
532,3.43425089,96.98678009,13.35099972
535,4.33329229,96.76114513,12.41880580
538,5.35098324,96.30338295,11.68433140
541,6.68846898,95.52149612,10.99052889
544,7.98591242,94.66208377,10.45441199
547,9.07921957,93.89528200,10.05198764
550,10.56498142,92.80533689,9.54586495
553,12.08604549,91.66772108,9.04868540
556,13.28386830,90.78395572,8.67666745
559,14.84701764,89.68442915,8.22626486
562,16.78764149,88.46338801,7.74093817
565,18.73493026,87.43784541,7.34086551
568,21.09307226,86.41877062,6.94554177
571,24.68671171,85.22491921,6.47870307
574,28.83848793,84.16951967,6.05636721
577,32.81433656,83.33261087,5.71460835
580,38.89932118,82.23983914,5.28320554
583,45.29103879,81.11410450,4.88999132
586,49.82633991,80.19063940,4.63385246
589,54.60262135,78.94120973,4.36723594
592,58.26922598,77.36188346,4.14530609
595,59.71090250,75.83555275,4.01851924
598,59.80460798,74.14597915,3.93773957
601,58.48571426,71.95528873,3.89737089
604,56.68667243,69.87222105,3.90848245
607,55.23334146,68.15711223,3.94824692
610,54.19462181,65.95067746,4.05516809
613,54.39552147,63.85334558,4.20623940
616,55.12293282,62.31263829,4.34264007
619,55.92317830,60.40069227,4.51965748
622,56.20277372,58.23977229,4.71722619
625,55.72714575,56.39021769,4.87753091
628,54.69141419,54.54525087,5.03219695
631,52.86727899,52.39992240,5.21185028
634,50.87892856,50.51199811,5.37350326
637,49.14169275,49.00486038,5.50363877
640,46.77479702,47.00126007,5.66299698
643,44.40486461,44.91233806,5.78881853
646,42.62419291,43.23767179,5.84093556
649,40.45159100,41.11144364,5.85837223
652,38.07733455,38.70535744,5.81174781
655,36.08612403,36.66320816,5.72285460
658,34.08607947,34.62393504,5.59775609
661,31.67993734,32.21768469,5.40807977
664,29.46768792,30.05626476,5.20825908
667,27.65337928,28.31152211,5.03245190
670,25.24884121,26.02049042,4.78080425
673,22.85786342,23.73049906,4.50467457
676,21.07237902,21.99347095,4.26680279
679,18.90493033,19.85538935,3.93931303
682,16.55118814,17.49426368,3.52503947
685,14.58969780,15.49901629,3.13381739
688,12.63327014,13.48987473,2.71274311
691,10.31191010,11.08434937,2.18705871
694,8.23599665,8.91609982,1.71067389
697,6.59157724,7.18823611,1.33635550
700,4.60130726,5.07786373,0.89604482
703,2.90944731,3.26325273,0.53519903
706,1.92013748,2.18571874,0.33336630
709,0.98830072,1.15605447,0.15140261
712,0.35427178,0.43551685,0.03985078
715,0.09581164,0.12715166,0.00637319
718,0.00256619,0.00762248,0.00626845
721,0.00461563,0.00241510,0.03217480
724,0.02982939,0.01917791,0.07321510
727,0.07777688,0.05497576,0.11611932
730,0.15754817,0.11453717,0.18121834
