wavelength,r,g,b
400,1.32807396,0.42801731,4.10528719
403,3.00733996,1.12577817,11.16574245
406,4.79334565,1.92909140,19.81226207
409,7.33459421,3.10475790,33.04714262
412,10.45424232,4.57079823,50.49082448
415,13.13963940,5.83693878,66.53793213
418,15.70802211,7.05306321,82.99064759
421,18.34549684,8.33157600,102.08665201
424,20.09766011,9.25171171,117.97867371
427,21.00527776,9.81340436,129.54997515
430,21.11959844,10.15413339,141.63080001
433,20.28037067,10.07117229,150.47453962
436,19.13815513,9.69271526,155.06542150
439,17.47802703,8.95858480,159.24894923
442,15.45793245,7.81675847,162.28820669
445,13.75373479,6.70036439,164.02819211
448,12.12894336,5.63937900,165.33939214
451,10.39367524,4.89691459,166.49773488
454,9.06799542,5.33678306,167.24291181
457,8.17304071,6.74905564,167.65880486
460,7.37213559,11.44613918,167.80942941
463,6.99122475,19.80558816,167.43530042
466,7.02231903,29.19235376,166.64726731
469,7.31896069,43.33674623,165.14706914
472,7.94234430,61.97723814,162.72080294
475,8.62885599,79.41830785,160.00507556
478,9.38973518,97.80225275,156.65895129
481,10.30941963,120.24777834,151.70971886
484,11.05932124,140.38162351,146.30302100
487,11.56480021,156.22104736,141.36852338
490,11.92498021,175.23715055,134.10626736
493,11.90060556,191.52658789,126.33407045
496,11.58602725,201.42889855,120.21828199
499,10.96951271,211.39491172,112.59851683
502,10.02875198,219.67665487,104.13851511
505,9.09815473,225.03504784,97.02154445
508,8.10843565,229.53620417,89.91321702
511,6.93985928,234.23643005,81.49839668
514,5.99877070,238.18118152,73.98328632
517,5.36790206,241.22197102,68.01409286
520,4.93440661,244.70066323,60.63256688
523,5.07704914,247.18625817,54.04525688
526,5.73148276,247.92559187,49.85948373
529,7.06964589,247.55426951,45.53585385
532,9.23308054,245.42887571,41.83791830
535,11.51568661,242.44650238,39.42847460
538,14.09894933,238.66656944,37.44279082
541,17.47180793,233.33602994,35.45747649
544,20.70720441,227.95587876,33.84158398
547,23.40467418,223.32888476,32.58841472
550,27.00820380,216.92521117,30.96770998
553,30.64089334,210.33418055,29.34860424
556,33.47935489,205.23941577,28.12150898
559,37.19856094,198.87291394,26.61953422
562,41.89285117,191.67211686,24.97522404
565,46.73286288,185.38184376,23.59482412
568,52.74769595,178.78742887,22.20535772
571,62.16926874,170.36898837,20.52330121
574,73.29278465,162.11091998,18.96040233
577,84.07833690,154.99761459,17.66821505
580,100.76787965,145.07340719,15.97572294
583,118.39805899,134.97676575,14.36416113
586,130.91266016,127.52904956,13.25733581
589,144.02023094,118.82815657,12.04350712
592,153.88429817,110.09973385,10.93757404
595,157.45669172,103.56634403,10.20759844
598,157.16099577,97.60443421,9.62948409
601,152.75487519,90.93078534,9.10942528
604,147.15988685,84.74187459,8.74947507
607,142.77086350,79.35922208,8.51137452
610,139.86512298,71.10070345,8.26039110
613,140.93273623,61.67084996,8.04867721
616,143.64503983,54.24428744,7.93039497
619,146.82110051,45.65773984,7.84933216
622,148.60500965,37.58624720,7.86268450
625,147.91445641,32.25889599,7.95422851
628,145.37517583,28.15341854,8.10574066
631,140.21474849,24.76715481,8.35929887
634,134.16978002,22.76596272,8.64448204
637,128.70028679,21.64657829,8.90332015
640,121.12472674,20.71259640,9.26698426
643,113.63220394,20.05341754,9.60661403
646,108.17595977,19.64310283,9.80200728
649,101.66780501,19.16172672,9.95427578
652,94.70608255,18.62676466,9.97637277
655,88.91058450,18.13982711,9.86109107
658,83.06359133,17.60206346,9.62980589
661,75.93590493,16.86986005,9.20219393
664,69.29226057,16.10459284,8.69904666
667,63.80738985,15.41613984,8.23440441
670,56.59548513,14.39815409,7.56954940
673,49.63826951,13.28519468,6.88862936
676,44.70677920,12.37999584,6.36678936
679,38.99830606,11.21896775,5.71092067
682,33.18039699,9.87888361,4.95812783
685,28.60608972,8.70874045,4.29493467
688,24.22661810,7.50787592,3.60989512
691,19.21215530,6.05356599,2.78397519
694,14.83918474,4.74298431,2.05791767
697,11.43155238,3.70582322,1.50211722
700,7.42952792,2.46661214,0.88310878
703,4.20313828,1.44196086,0.42250136
706,2.48703409,0.87338923,0.20737735
709,1.03225563,0.37198006,0.05242126
712,0.22584901,0.08094270,0.00359907
715,0.02166582,0.00669768,0.00091635
718,0.00000000,0.00000000,0.00198753
721,0.00526562,0.00163046,0.00153146
724,0.01526564,0.00435921,0.00000000
727,0.01367195,0.00276268,0.00000000
730,0.00000000,0.00000000,0.00010203
